id,latitude,longitude,property_type,room_type,bedrooms,bathrooms,price,number_of_reviews,availability_365
1,40.4,-3.7,Apartment,Entire home/apt,1,1,50,0,0
2,40.400999999999996,-3.701,House,Private room,2,2,55,1,90
3,40.402,-3.702,Condominium,Shared room,3,1,60,2,180
4,40.403,-3.7030000000000003,Loft,Entire home/apt,4,2,65,3,270
5,40.403999999999996,-3.704,Apartment,Private room,1,1,70,4,360
6,40.405,-3.705,House,Shared room,2,2,75,5,0
7,40.406,-3.706,Condominium,Entire home/apt,3,1,80,6,90
8,40.407,-3.7070000000000003,Loft,Private room,4,2,85,7,180
9,40.408,-3.708,Apartment,Shared room,1,1,90,8,270
10,40.409,-3.709,House,Entire home/apt,2,2,95,9,360
11,40.4,-3.7,Condominium,Private room,3,1,100,10,0
12,40.400999999999996,-3.701,Loft,Shared room,4,2,105,11,90
13,40.402,-3.702,Apartment,Entire home/apt,1,1,110,12,180
14,40.403,-3.7030000000000003,House,Private room,2,2,115,13,270
15,40.403999999999996,-3.704,Condominium,Shared room,3,1,120,14,360
16,40.405,-3.705,Loft,Entire home/apt,4,2,125,15,0
17,40.406,-3.706,Apartment,Private room,1,1,130,16,90
18,40.407,-3.7070000000000003,House,Shared room,2,2,135,17,180
19,40.408,-3.708,Condominium,Entire home/apt,3,1,140,18,270
20,40.409,-3.709,Loft,Private room,4,2,145,19,360
21,40.4,-3.7,Apartment,Shared room,1,1,50,20,0
22,40.400999999999996,-3.701,House,Entire home/apt,2,2,55,21,90
23,40.402,-3.702,Condominium,Private room,3,1,60,22,180
24,40.403,-3.7030000000000003,Loft,Shared room,4,2,65,23,270
25,40.403999999999996,-3.704,Apartment,Entire home/apt,1,1,70,24,360
26,40.405,-3.705,House,Private room,2,2,75,25,0
27,40.406,-3.706,Condominium,Shared room,3,1,80,26,90
28,40.407,-3.7070000000000003,Loft,Entire home/apt,4,2,85,27,180
29,40.408,-3.708,Apartment,Private room,1,1,90,28,270
30,40.409,-3.709,House,Shared room,2,2,95,29,360
31,40.4,-3.7,Condominium,Entire home/apt,3,1,100,30,0
32,40.400999999999996,-3.701,Loft,Private room,4,2,105,31,90
