iter	Passed	Remaining
0	97	48809
1	112	27970
2	131	21762
3	141	17548
4	148	14722
5	161	13311
6	176	12416
7	198	12182
8	209	11402
9	226	11077
10	255	11349
11	264	10738
12	277	10381
13	293	10195
14	311	10073
15	321	9735
16	341	9698
17	354	9490
18	368	9328
19	395	9481
20	429	9799
21	438	9527
22	450	9352
23	477	9464
24	490	9316
25	513	9356
26	526	9232
27	546	9218
28	555	9017
29	580	9092
30	593	8978
31	605	8858
32	622	8809
33	636	8724
34	668	8878
35	684	8824
36	717	8974
37	733	8915
38	744	8798
39	777	8945
40	799	8955
41	822	8969
42	840	8933
43	863	8949
44	876	8865
45	893	8817
46	908	8758
47	920	8671
48	948	8733
49	984	8858
50	1005	8850
51	1026	8845
52	1035	8730
53	1063	8786
54	1072	8674
55	1105	8763
56	1136	8830
57	1144	8723
58	1153	8623
59	1166	8553
60	1173	8445
61	1183	8362
62	1196	8301
63	1207	8223
64	1226	8204
65	1251	8230
66	1259	8138
67	1287	8179
68	1311	8191
69	1354	8320
70	1402	8476
71	1433	8522
72	1441	8432
73	1473	8481
74	1488	8435
75	1498	8358
76	1513	8313
77	1546	8365
78	1556	8296
79	1572	8258
80	1590	8225
81	1646	8392
82	1666	8371
83	1695	8396
84	1718	8390
85	1725	8308
86	1743	8276
87	1782	8344
88	1819	8404
89	1848	8419
90	1867	8394
91	1884	8359
92	1896	8298
93	1909	8246
94	1926	8213
95	1945	8186
96	1980	8226
97	1996	8188
98	2009	8137
99	2025	8101
100	2035	8039
101	2076	8104
102	2094	8074
103	2107	8026
104	2126	8000
105	2142	7963
106	2149	7895
107	2169	7872
108	2176	7807
109	2220	7873
110	2232	7825
111	2254	7809
112	2266	7761
113	2300	7788
114	2342	7842
115	2353	7790
116	2374	7773
117	2385	7722
118	2434	7795
119	2518	7975
120	2525	7910
121	2533	7848
122	2550	7818
123	2572	7799
124	2579	7737
125	2586	7677
126	2599	7634
127	2610	7587
128	2618	7529
129	2631	7490
130	2762	7781
131	2771	7726
132	2791	7702
133	2800	7648
134	2859	7732
135	2874	7693
136	2925	7750
137	2978	7812
138	2992	7771
139	3002	7721
140	3022	7694
141	3058	7710
142	3072	7669
143	3081	7618
144	3089	7563
145	3109	7540
146	3118	7489
147	3142	7475
148	3179	7489
149	3195	7456
150	3214	7428
151	3254	7449
152	3266	7408
153	3276	7360
154	3338	7430
155	3349	7386
156	3366	7355
157	3374	7304
158	3401	7295
159	3413	7252
160	3421	7204
161	3429	7155
162	3450	7133
163	3457	7084
164	3474	7055
165	3488	7020
166	3501	6982
167	3553	7022
168	3560	6973
169	3571	6933
170	3582	6893
171	3603	6872
172	3646	6893
173	3678	6891
174	3827	7108
175	3853	7093
176	3862	7048
177	3875	7010
178	3886	6969
179	3900	6934
180	3936	6936
181	3946	6894
182	3953	6848
183	3983	6841
184	4010	6827
185	4017	6782
186	4035	6755
187	4043	6711
188	4051	6666
189	4063	6630
190	4074	6591
191	4085	6553
192	4099	6521
193	4107	6479
194	4128	6457
195	4159	6450
196	4167	6410
197	4188	6388
198	4201	6354
199	4211	6316
200	4266	6346
201	4300	6344
202	4312	6310
203	4322	6271
204	4332	6234
205	4348	6206
206	4359	6170
207	4375	6142
208	4382	6102
209	4398	6073
210	4406	6035
211	4416	5999
212	4441	5984
213	4459	5960
214	4470	5925
215	4489	5903
216	4499	5868
217	4514	5839
218	4527	5808
219	4548	5789
220	4559	5756
221	4573	5727
222	4614	5731
223	4635	5711
224	4660	5696
225	4670	5662
226	4679	5627
227	4693	5599
228	4705	5568
229	4717	5538
230	4727	5505
231	4747	5484
232	4754	5448
233	4821	5480
234	4840	5458
235	4847	5423
236	4855	5388
237	4874	5366
238	4891	5342
239	4932	5343
240	4953	5323
241	4972	5300
242	4998	5286
243	5011	5257
244	5057	5263
245	5070	5235
246	5081	5204
247	5111	5193
248	5141	5183
249	5196	5196
250	5205	5164
251	5213	5131
252	5226	5102
253	5240	5075
254	5250	5045
255	5282	5034
256	5303	5014
257	5316	4987
258	5354	4982
259	5363	4950
260	5396	4941
261	5413	4917
262	5422	4886
263	5450	4872
264	5478	4858
265	5495	4834
266	5534	4829
267	5560	4813
268	5574	4786
269	5600	4771
270	5622	4750
271	5658	4743
272	5679	4722
273	5687	4691
274	5701	4665
275	5714	4638
276	5736	4618
277	5759	4599
278	5768	4569
279	5776	4538
280	5796	4517
281	5806	4488
282	5819	4462
283	5832	4436
284	5851	4414
285	5865	4388
286	5874	4359
287	5907	4348
288	5938	4335
289	5963	4318
290	5984	4298
