id,marca,modelo,edad,kilometraje_km,combustible,transmision,potencia_cv,consumo_l_100km,num_duenos,estado,region,puertas,color,carroceria,precio_eur
1,Peugeot,208,12,183973,Gasolina,Manual,76,7.7,1,Bueno,Valencia,5,Blanco,Compacto,3715
2,SEAT,Ibiza,14,222633,Gasolina,Manual,149,6.8,1,Excelente,Murcia,5,Rojo,Monovolumen,2412
3,Audi,A1,15,226935,Diésel,Manual,62,5.1,2,Excelente,La Rioja,3,Azul,Berlina,1679
4,Peugeot,308,9,129373,Diésel,Automático,76,6.0,2,Bueno,Cantabria,3,Gris,Familiar,3922
5,Dacia,Sandero,18,260792,Gasolina,Manual,139,6.7,3,Aceptable,Castilla-La Mancha,5,Azul,SUV,1500
6,Audi,Q3,9,141580,Gasolina,Manual,99,7.4,3,Bueno,Valencia,5,Negro,SUV,2278
7,BMW,Serie 1,6,95907,Gasolina,Automático,134,7.1,1,Excelente,La Rioja,5,Blanco,Monovolumen,6693
8,BMW,Serie 1,10,146314,Gasolina,Manual,156,7.5,2,Aceptable,La Rioja,5,Azul,Monovolumen,1500
9,Kia,Rio,6,94656,Gasolina,Manual,152,7.9,1,Bueno,Murcia,5,Azul,Monovolumen,4467
10,Dacia,Sandero,16,233286,Diésel,Manual,72,6.8,1,Aceptable,Galicia,5,Plata,Compacto,2286
11,Hyundai,Tucson,18,261149,Gasolina,Manual,100,7.9,5,Bueno,Madrid,5,Blanco,Familiar,3668
12,Audi,A4,17,254713,Gasolina,Manual,119,5.1,1,Aceptable,País Vasco,5,Negro,Compacto,3849
13,Peugeot,3008,11,165696,Híbrido,Manual,102,5.6,4,Excelente,Aragón,5,Rojo,Berlina,1851
14,SEAT,Arona,5,73302,Gasolina,Automático,119,7.6,2,Excelente,Castilla-La Mancha,5,Blanco,SUV,8568
15,Renault,Captur,5,75776,Híbrido,Automático,154,4.9,1,Bueno,Galicia,5,Rojo,Monovolumen,5415
16,Opel,Astra,4,62368,Híbrido,Manual,116,5.5,1,Aceptable,Castilla y León,5,Azul,Berlina,6358
17,Dacia,Duster,4,57258,Diésel,Manual,60,6.4,2,Bueno,Castilla-La Mancha,5,Blanco,Compacto,4840
18,Renault,Captur,19,284851,Gasolina,Automático,88,6.3,2,Excelente,Castilla-La Mancha,5,Azul,SUV,1500
19,Toyota,C-HR,16,238461,Diésel,Automático,137,6.5,5,Bueno,Baleares,5,Negro,Monovolumen,1500
20,Peugeot,208,7,116222,Gasolina,Manual,60,7.7,1,Bueno,Andalucía,3,Plata,Compacto,5650
21,Nissan,Qashqai,13,191052,Gasolina,Manual,133,8.6,1,Bueno,País Vasco,5,Blanco,Berlina,4039
22,Citroen,C5 Aircross,17,242594,Gasolina,Automático,81,6.4,4,Aceptable,Castilla-La Mancha,3,Azul,Compacto,2009
23,Skoda,Fabia,8,117146,Híbrido,Manual,93,6.3,2,Aceptable,País Vasco,5,Azul,Compacto,3714
24,Mercedes,Clase C,3,47079,Diésel,Manual,129,5.5,5,Bueno,Cataluña,5,Rojo,Berlina,12882
25,Volkswagen,Tiguan,19,287344,Gasolina,Manual,112,8.7,4,Excelente,Canarias,3,Negro,Monovolumen,2798
26,Renault,Captur,18,276159,Diésel,Manual,111,6.8,3,Aceptable,Castilla-La Mancha,5,Blanco,Compacto,2368
27,Renault,Megane,2,37029,Diésel,Manual,124,7.5,2,Excelente,La Rioja,5,Azul,SUV,11567
28,Ford,Kuga,11,170005,Diésel,Automático,60,5.6,4,Excelente,Andalucía,3,Negro,Compacto,3283
29,Audi,A3,9,134006,Híbrido,Automático,148,5.1,3,Bueno,Extremadura,5,Plata,SUV,8873
30,Mercedes,GLA,4,65680,Gasolina,Automático,132,7.7,1,Aceptable,Andalucía,5,Negro,SUV,14564
31,Audi,A1,17,255465,Diésel,Manual,101,6.8,6,Bueno,La Rioja,5,Plata,SUV,2700
32,Audi,Q3,12,191498,Híbrido,Automático,80,6.6,4,Bueno,País Vasco,3,Gris,Compacto,5096
33,Ford,Kuga,12,176117,Gasolina,Manual,132,9.1,2,Bueno,Andalucía,3,Plata,Familiar,1500
34,Ford,Kuga,19,277855,Híbrido,Manual,101,6.7,2,Bueno,Cataluña,5,Blanco,Berlina,1819
35,Dacia,Sandero,13,195364,Diésel,Manual,113,8.2,5,Aceptable,Murcia,5,Plata,Monovolumen,2078
36,Ford,Focus,15,218659,Eléctrico,Automático,127,5.9,2,Excelente,La Rioja,5,Azul,Familiar,3825
37,BMW,Serie 3,15,227542,Diésel,Manual,60,7.3,5,Aceptable,Castilla-La Mancha,3,Azul,Compacto,4785
38,Dacia,Duster,13,189154,Gasolina,Manual,98,7.0,2,Bueno,Valencia,5,Gris,Familiar,3916
39,Dacia,Duster,3,42979,Gasolina,Manual,98,8.5,1,Excelente,País Vasco,3,Rojo,SUV,4887
40,Hyundai,i30,10,161530,Gasolina,Automático,60,8.1,2,Bueno,Castilla y León,5,Plata,Compacto,2885
